config,desi_full,full_mean,full_sig,desi_conn,conn_mean,conn_sig,valid
86,5.16804976e-03,5.02831790e-03,5.95857558e-04,4.18355138e-04,4.20958688e-04,5.62438625e-04,1
87,3.37684704e-03,3.19372345e-03,5.66153807e-04,1.64364337e-04,1.84367503e-04,5.28234199e-04,1
88,8.48597641e-03,8.22834064e-03,6.13245903e-04,4.47324804e-04,4.98696399e-04,5.40984000e-04,1
89,4.18782253e-03,3.74890612e-03,6.07961600e-04,6.49602479e-05,-2.18125612e-04,5.67283091e-04,1
90,1.75638566e-03,1.66141762e-03,5.67716514e-04,-8.29264696e-04,-7.07610843e-04,5.31987320e-04,1
91,2.16397656e-03,1.64835965e-03,5.15218101e-04,-2.77680485e-04,-5.81050583e-04,4.68908758e-04,1
92,2.04654758e-02,1.94512495e-02,1.28507269e-03,1.95192749e-03,1.20611354e-03,1.24356477e-03,1
93,6.54396657e-03,7.57807674e-03,1.01850410e-03,-1.68809945e-03,-4.01265050e-04,9.98269230e-04,1
94,2.77773453e-03,3.04533939e-03,1.03672955e-03,-1.53854217e-03,-1.17138989e-03,1.04638329e-03,1
95,6.22346621e-04,1.10457994e-03,9.18652324e-04,-2.15671814e-03,-1.51414608e-03,9.03859082e-04,1
96,1.97591608e-02,1.87789244e-02,9.13641936e-04,1.52571917e-03,8.23027815e-04,8.07117341e-04,1
97,8.79701418e-03,8.12900262e-03,5.74484613e-04,8.45054754e-04,4.38900207e-04,5.49119789e-04,1
98,3.19992959e-03,3.77289135e-03,5.14164449e-04,-8.36240508e-04,-1.54598546e-04,4.84565616e-04,1
99,1.81190903e-03,1.74466413e-03,3.84781955e-04,-6.87049142e-04,-5.84822501e-04,4.16988406e-04,1
100,2.01094606e-02,1.94113540e-02,8.17158219e-04,2.15612556e-03,1.74469674e-03,6.46641299e-04,1
101,7.32087212e-03,7.40948507e-03,7.44028938e-04,-3.50980709e-04,8.62203188e-06,6.93906408e-04,1
102,2.60843520e-03,2.93602541e-03,7.82249618e-04,-1.14762830e-03,-7.02225115e-04,7.45728196e-04,1
103,1.54745348e-03,1.43901691e-03,5.94100039e-04,-6.71398093e-04,-6.01230354e-04,5.34745871e-04,1
104,7.38374764e-03,7.40222227e-03,8.22262783e-04,-2.88105189e-04,1.35923132e-06,7.11677461e-04,1
105,3.06367088e-03,3.18614815e-03,6.87416987e-04,-6.92392622e-04,-4.52102374e-04,6.52989233e-04,1
106,9.03247614e-04,1.26827521e-03,7.81609566e-04,-1.31560396e-03,-7.71972045e-04,7.46739125e-04,1
107,4.08433324e-03,4.34412311e-03,7.81705083e-04,1.92156455e-04,5.56251442e-04,7.90700415e-04,1
108,2.79745883e-03,2.38044055e-03,4.82448266e-04,4.42493972e-04,1.90572143e-04,4.56421705e-04,1
109,7.94152130e-03,7.95061241e-03,6.29574528e-04,4.13661778e-04,6.89367604e-04,5.52161127e-04,1
110,3.54672830e-03,3.70535271e-03,5.69937731e-04,-6.53418924e-05,2.06720423e-04,5.24226171e-04,1
111,1.70536381e-03,1.71212222e-03,5.07615521e-04,-3.69494456e-04,-1.88506808e-04,4.84806752e-04,1
112,1.97701608e-02,1.91631783e-02,1.33208035e-03,2.10481236e-03,1.77575755e-03,1.35223044e-03,1
113,7.58306283e-03,7.67165470e-03,7.57706239e-04,1.99196621e-04,5.50028119e-04,7.21933575e-04,1
114,3.06305538e-03,3.01451348e-03,6.05567152e-04,-4.05021499e-04,-3.44500578e-04,6.14772778e-04,1
115,2.42120056e-04,1.24880907e-03,7.99389233e-04,-1.68874490e-03,-5.12201724e-04,7.92035742e-04,1
