config,r12,r13,r14,r23,r24,r34
42,25.625,25.625,36.875,48.125,36.875,48.125
43,25.625,25.625,36.875,48.125,36.875,59.375
44,25.625,25.625,36.875,48.125,48.125,48.125
45,25.625,25.625,36.875,48.125,48.125,59.375
46,25.625,25.625,36.875,48.125,59.375,59.375
47,25.625,25.625,36.875,59.375,25.625,25.625
48,25.625,25.625,36.875,59.375,25.625,36.875
49,25.625,25.625,36.875,59.375,25.625,48.125
50,25.625,25.625,36.875,59.375,25.625,59.375
51,25.625,25.625,36.875,59.375,36.875,36.875
52,25.625,25.625,36.875,59.375,36.875,48.125
53,25.625,25.625,36.875,59.375,36.875,59.375
54,25.625,25.625,36.875,59.375,48.125,48.125
55,25.625,25.625,36.875,59.375,48.125,59.375
56,25.625,25.625,36.875,59.375,59.375,59.375
57,25.625,25.625,48.125,25.625,48.125,48.125
58,25.625,25.625,48.125,25.625,48.125,59.375
59,25.625,25.625,48.125,25.625,59.375,59.375
60,25.625,25.625,48.125,36.875,36.875,36.875
61,25.625,25.625,48.125,36.875,36.875,48.125
62,25.625,25.625,48.125,36.875,36.875,59.375
63,25.625,25.625,48.125,36.875,48.125,48.125
64,25.625,25.625,48.125,36.875,48.125,59.375
65,25.625,25.625,48.125,36.875,59.375,59.375
66,25.625,25.625,48.125,48.125,25.625,25.625
67,25.625,25.625,48.125,48.125,25.625,36.875
68,25.625,25.625,48.125,48.125,25.625,48.125
69,25.625,25.625,48.125,48.125,25.625,59.375
70,25.625,25.625,48.125,48.125,36.875,36.875
71,25.625,25.625,48.125,48.125,36.875,48.125
72,25.625,25.625,48.125,48.125,36.875,59.375
73,25.625,25.625,48.125,48.125,48.125,48.125
74,25.625,25.625,48.125,48.125,48.125,59.375
75,25.625,25.625,48.125,48.125,59.375,59.375
76,25.625,25.625,48.125,59.375,25.625,25.625
77,25.625,25.625,48.125,59.375,25.625,36.875
78,25.625,25.625,48.125,59.375,25.625,48.125
79,25.625,25.625,48.125,59.375,25.625,59.375
80,25.625,25.625,48.125,59.375,36.875,36.875
81,25.625,25.625,48.125,59.375,36.875,48.125
82,25.625,25.625,48.125,59.375,36.875,59.375
83,25.625,25.625,48.125,59.375,48.125,48.125
84,25.625,25.625,48.125,59.375,48.125,59.375
85,25.625,25.625,48.125,59.375,59.375,59.375
86,25.625,25.625,59.375,25.625,59.375,59.375
87,25.625,25.625,59.375,36.875,36.875,36.875
88,25.625,25.625,59.375,36.875,36.875,48.125
89,25.625,25.625,59.375,36.875,36.875,59.375
90,25.625,25.625,59.375,36.875,48.125,48.125
91,25.625,25.625,59.375,36.875,48.125,59.375
92,25.625,25.625,59.375,36.875,59.375,59.375
93,25.625,25.625,59.375,48.125,36.875,36.875
94,25.625,25.625,59.375,48.125,36.875,48.125
95,25.625,25.625,59.375,48.125,36.875,59.375
96,25.625,25.625,59.375,48.125,48.125,48.125
97,25.625,25.625,59.375,48.125,48.125,59.375
98,25.625,25.625,59.375,48.125,59.375,59.375
99,25.625,25.625,59.375,59.375,25.625,25.625
100,25.625,25.625,59.375,59.375,25.625,36.875
101,25.625,25.625,59.375,59.375,25.625,48.125
102,25.625,25.625,59.375,59.375,25.625,59.375
103,25.625,25.625,59.375,59.375,36.875,36.875
104,25.625,25.625,59.375,59.375,36.875,48.125
105,25.625,25.625,59.375,59.375,36.875,59.375
106,25.625,25.625,59.375,59.375,48.125,48.125
